Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Multi-scene citrus detection based on multi-task deep learning network,C. Wen; H. Zhang; H. Li; H. Li; J. Chen; H. Guo; S. Cheng,"College of Electrical and Information Engineering, Changsha University of Science and Technology, Changsha, China; College of School of Robotics, Hunan University, Changsha, China; College of Electrical and Information Engineering, Changsha University of Science and Technology, Changsha, China; College of Electrical and Information Engineering, Changsha University of Science and Technology, Changsha, China; College of Electrical and Information Engineering, Changsha University of Science and Technology, Changsha, China; College of Electrical and Information Engineering, Changsha University of Science and Technology, Changsha, China; College of Electrical and Information Engineering, Changsha University of Science and Technology, Changsha, China","2020 IEEE International Conference on Systems, Man, and Cybernetics (SMC)",14-Dec-20,2020,,,912,919,"Citrus detection is an essential component of the citrus industry. In order to realize the identification, positioning, segmentation, maturity estimation, and quality evaluation of citrus in complex environments, this paper proposes a multi-task deep learning network that can be applied to multiple scenes for citrus detection. The system is based on the Mask R-CNN network framework. By adding multi-task branches, modifying model parameters, and designing multi-task loss function, it can realize multi-task detection of citrus in a complex environment. The mAP on the validation set of the model obtained after training is 91.56%, and it takes an average of 0.35s to detect a citrus image using GeForce GTX 1080 Ti. Through the comparative analysis of the detection effect and performance evaluation index F value of multi-task citrus under different maturity, quality, citrus quantity, and light angle, the experimental results show that the model can effectively and accurately detect the citrus with different maturity and quality in the environment of citrus fruit overlap, tree branch and leaf occlusion, light change and surface shadow. The code is available at https://github.com/wxx-gan/Multitask.",2577-1655,978-1-7281-8526-2,10.1109/SMC42975.2020.9282909,National Natural Science Foundation of China; Research and Development; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9282909,Multi-task deep learning;multi-scene citrus detection;Mask R-CNN;maturity and quality assessment;multi-task loss design;multi-task performance evaluation,Deep learning;Performance evaluation;Training;Industries;Analytical models;Indexes;Task analysis,agricultural products;convolutional neural nets;deep learning (artificial intelligence);food products;graphics processing units;identification technology;image colour analysis;image segmentation;object detection;parameter estimation;product quality,multiscene citrus detection;multitask deep learning network;citrus industry;complex environment;Mask R-CNN network framework;multitask branches;multitask detection;citrus image;detection effect;multitask citrus;citrus quantity;citrus fruit overlap;multitask loss function design;maturity estimation;citrus identification;citrus positioning;citrus segmentation;quality evaluation;tree branch;leaf occlusion;light change;surface shadow;time 0.35 s,,3,,27,IEEE,14-Dec-20,,,IEEE,IEEE Conferences
Neural networks for Pest Detection in Precision Agriculture,A. Segalla; G. Fiacco; L. Tramarin; M. Nardello; D. Brunelli,"Department of Industrial Engineering, University of Trento, Italy; Department of Industrial Engineering, University of Trento, Italy; Department of Industrial Engineering, University of Trento, Italy; Department of Industrial Engineering, University of Trento, Italy; Department of Industrial Engineering, University of Trento, Italy",2020 IEEE International Workshop on Metrology for Agriculture and Forestry (MetroAgriFor),8-Dec-20,2020,,,7,12,"Apple is one of the most produced fruit crops in the world. Recent advances in Artificial Intelligence and the Internet of Things can reduce production costs and improve crop quality by providing prompt detection of dangerous parasites. This paper presents an effective solution to automate the detection of the Codling Moths. The system takes pictures of trapped insects in the orchard, analyzes them through a DNN algorithm, and sends alarms to the farmer in case of a positive detection. The system is fully autonomous and can operate unattended for the entire crop season. Detection reports are used for optimizing the treatment with chemicals only when threats are identified. The prototype is designed with an embedded platform powered by a small solar panel to achieve an energy-neutral balance.",,978-1-7281-8783-9,10.1109/MetroAgriFor50201.2020.9277657,Erasmus; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9277657,,Task analysis;Insects;Training;Prototypes;Computational modeling;Monitoring;Deep learning,agricultural products;agriculture;crops;Internet of Things;neural nets;pest control;solar cell arrays,dangerous parasites;trapped insects;orchard;DNN algorithm;positive detection;crop season;detection reports;neural networks;pest detection;precision agriculture;apple;produced fruit crops;artificial intelligence;Internet of Things;production costs;crop quality;prompt detection;codling moths,,1,,30,IEEE,8-Dec-20,,,IEEE,IEEE Conferences
Non-Destructive Classification of Fruits by Using Machine Learning Techniques,S. Vanakovarayan; S. Prasanna; S. Thulasidass; M. V,"Department of Computer Science and Engineering, Mailam Engineering College; Department of Computer Science and Engineering, Mailam Engineering College; Department of Computer Science and Engineering, Mailam Engineering College; Department of Computer Science and Engineering, Mailam Engineering College","2021 International Conference on System, Computation, Automation and Networking (ICSCAN)",6-Sep-21,2021,,,1,5,"Incorporation of PC vision and picture preparing method in agribusiness field giving an easy to use climate in quality testing and reviewing of organic product prior to setting it in market. Mechanized quality testing and evaluating of organic products affected with the separated quality boundaries of organic product picture and number of dataset utilized in preparing period of machine. Shading, size, surface and surface deformity are the fundamental boundaries in quality proportion of natural products in farming field. This paper zeroed in on order precision dependent on extricated shading and mathematical highlights of organic product mango (magniferia Indica ) and utilized example size in preparing period of AI calculation. In this examination development of mango is anticipated with removed shading highlights by utilizing a blend of RGB, HSI, HSV,L*a*b shading model and order is finished utilizing Naïvebayes and BPNN AI calculations. This total strategy passes from three stages 1) picture pre-handling 2) highlight extraction and 3) characterization. The trial results outline the handiness of these actions by giving the earlier data in grouping. BPNN results are palatable in the two instances of utilized highlights like I) shading highlights ii) shading and mathematical highlights",,978-1-6654-3986-2,10.1109/ICSCAN53069.2021.9526541,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9526541,Classification;Machine Learning;BPNN;Naïv bayes;computer vision,Automation;Machine learning;Mathematical model;Testing;Meteorology,agricultural products;agriculture;backpropagation;climatology;computer vision;feature extraction;food products;image classification;image colour analysis;mathematical analysis;naive Bayes methods;neural nets;nondestructive testing;quality control,agribusiness field;mechanized quality testing;surface deformity;fundamental boundaries;natural products;farming field;order precision;extricated shading;mathematical highlights;BPNN AI calculations;machine learning techniques;organic product picture preparing method;fruits nondestructive classification;PC vision;climate condition;organic product mango;Magniferia Indica;RGB;HSI;HSV;L-a-b shading model;naiveBayes model,,,,15,IEEE,6-Sep-21,,,IEEE,IEEE Conferences
Non-destructive Image Processing Analysis for Defect Identification and Maturity Detection on Avocado Fruit,L. D. Valiente; K. M. R. Parco; G. C. P. Sangalang,"School of Electrical, Electronics, and Computer Engineering, Mapúa University, Manila, Philippines 1002; School of Electrical, Electronics, and Computer Engineering, Mapúa University, Manila, Philippines 1002; School of Electrical, Electronics, and Computer Engineering, Mapúa University, Manila, Philippines 1002",2021 5th International Conference on Communication and Information Systems (ICCIS),21-Dec-21,2021,,,175,179,"Image processing techniques and computer intervention has been widely accepted in smart agriculture and smart farming applications such as classification, quality grading, sorting, detection, evaluation in the agricultural field. Defect identification and maturity detection on avocado fruit give a challenging task by integrating a deep learning system nearer to a human-level recognition. The proposed research will benefit local markets and traders of purple avocados as it will provide automatic sorting and grading evaluation based on local standards. This paper aims to develop a non-destructive image processing analysis for defect identification and maturity detection on avocado fruit capable of classifying the type of defect and its maturity based on a convolutional neural network (CNN) classifier. This study had an overall accuracy of 93% for defect identification and 98.97% for maturity detection.",,978-1-6654-2216-1,10.1109/ICCIS53528.2021.9645970,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9645970,smart agriculture;image processing;defect identification;maturity detection;avocado fruit,Deep learning;Image processing;Convolutional neural networks;Task analysis;Standards;Sorting;Information systems,agricultural products;agriculture;convolutional neural nets;deep learning (artificial intelligence);food products;image classification;image processing;industrial economics;nondestructive testing;product quality;standards,nondestructive image processing analysis;defect identification;maturity detection;avocado fruit;smart agriculture;smart farming applications;quality grading;purple avocados;automatic sorting;computer intervention;deep learning system;human-level recognition;local standards;convolutional neural network;CNN classifier,,1,,9,IEEE,21-Dec-21,,,IEEE,IEEE Conferences
Olive-Fruit Variety Classification by Means of Image Processing and Convolutional Neural Networks,J. M. Ponce; A. Aquino; J. M. Andújar,"Department of Electronic Engineering, University of Huelva, Huelva, Spain; Department of Electronic Engineering, University of Huelva, Huelva, Spain; Department of Electronic Engineering, University of Huelva, Huelva, Spain",IEEE Access,21-Oct-19,2019,7,,147629,147641,"The automation of classification and grading of horticultural products attending to different features comprises a major challenge in food industry. Thus, focused on the olive sector, which boasts of a huge range of cultivars, it is proposed a methodology for olive-fruit variety classification, approaching it as an image classification problem. To that purpose, 2,800 fruits belonging to seven different olive varieties were photographed. After processing these initial captures by means of image processing techniques, the resulting set of images of individual fruits were used to train, and continuedly to externally validate, the implementations of six different Convolutional Neural Networks architectures. This, in order to compute the classifiers with which perform the variety categorization of the fruits. Remarkable hit rates were obtained after testing the classifiers on the corresponding external validation sets. Thus, it was yielded a top accuracy of 95.91% when using the Inception-ResnetV2 architecture. The results suggest that the proposed methodology, once integrated into industrial conveyor belts, promises to be an advanced solution to postharvest olive-fruit processing and classification.",2169-3536,,10.1109/ACCESS.2019.2947160,Interreg; European Regional Development Fund(grant numbers:0155_TECNOLIVO_6_E); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8867877,Computer vision;convolutional neural network;fruit variety;food industry;fruit classification;image processing;olive,Computer architecture;Feature extraction;Deep learning;Automation;Agriculture;Convolutional neural networks,agricultural products;belts;computer vision;conveyors;convolutional neural nets;food processing industry;food products;horticulture;image classification;production engineering computing;quality control,olive-fruit variety classification;olive sector;image classification problem;image processing techniques;convolutional neural networks architectures;horticultural products;food industry;remarkable hit rates;Inception-ResnetV2 architecture;industrial conveyor belts;computer vision,,19,,54,CCBY,14-Oct-19,,,IEEE,IEEE Journals
Optimal Ripeness Classification of the Philippine Guyabano Fruit using Deep Learning,M. C. V. Magabilin; A. C. Fajardo; R. P. Medina,"Technological Institute of the Philippines, Quezon City, Philippines; College of Computing Studies Information Communication Technology, Isabela State University, Isabela, Philippines; Technological Institute of the Philippines, Quezon City, Philippines","2022 Second International Conference on Power, Control and Computing Technologies (ICPC2T)",26-May-22,2022,,,1,5,"The Philippine Guyabano fruit has a sweet flavor and a soft heart-shaped spine. The existing process of evaluating and rating the quality of the fruit is done manually, using the traditional method, which needs additional effort on the part of graders and o in a visual and tactile assessment. In today's world, the Convolutional Neural Network (CNN) is a well-known used deep learning architecture for vision applications, as well as one of the most widely used classes of image classification and identification models. The researchers investigated various CNN structural designs to select the optimal prediction classifier based on their performance, including VGG19, InceptionV3, and mobilenetV2. The purpose of this study is to use CNN to execute an image classification strategy on data obtained from Philippine Guyabano fruit. The overall efficiency of the model was measured by evaluating the test results using the accuracy and loss function estimates given by the model. In comparison to InceptionV3 and MoboleNetV2, VGG19 provided the greatest model for fruit categorization accuracy among the three models, with a score of 99.25%. As a consequence, the VGG19 model produces the top transfer learning outcome, indicating that it is the ideal fit model among InceptionV3 and MobileNetV2.",,978-1-6654-5858-0,10.1109/ICPC2T53885.2022.9777014,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9777014,Guyabano fruit degree;image processing;CNN,Deep learning;Computers;Visualization;Computational modeling;Transfer learning;Power control;Process control,agricultural products;deep learning (artificial intelligence);image classification;neural nets,deep learning architecture;CNN structural designs;optimal prediction classifier;image classification strategy;optimal ripeness classification;soft heart-shaped spine;convolutional neural network;Philippine Guyabano fruit categorization accuracy,,,,25,IEEE,26-May-22,,,IEEE,IEEE Conferences
Optimization of Raman Spectra Peak Fitting for Oil Palm Classification,N. Wahhiddan; F. Hanim Hashim; T. Raj; A. Baseri Huddin,"Department of Electrical, Electronic & Systems Engineering, Faculty of Engineering & Built Environment, Universiti Kebangsaan Malaysia, Bandar Baru Bangi, Selangor, Malaysia; Department of Electrical, Electronic & Systems Engineering, Faculty of Engineering & Built Environment, Universiti Kebangsaan Malaysia, Bandar Baru Bangi, Selangor, Malaysia; Department of Electrical, Electronic & Systems Engineering, Faculty of Engineering & Built Environment, Universiti Kebangsaan Malaysia, Bandar Baru Bangi, Selangor, Malaysia; Research Centre for Sustainable Process Technology (CESPRO), Faculty of Engineering & Built Environment, Universiti Kebangsaan Malaysia, Bandar Baru Bangi, Selangor, Malaysia",2022 IEEE 18th International Colloquium on Signal Processing & Applications (CSPA),27-May-22,2022,,,320,324,"The selection of fresh fruit bunches (FFB) plays an important role to ensure the quality and quantity of palm oil. Current harvesting method relies on the experience of the harvester and by counting the number of fruitlets that have loosely fallen on the ground. A rapid and non-invasive method such as the Raman spectroscopy, that can determine the ripeness of the fruits can serve as an assisting tool during pre-harvesting. The challenge lies in the complex signal processing methods during the pre-processing of the raw Raman spectrum which highly relies on human expertise. Thus, this study aims on developing an automated and optimized signal processing algorithm that could eliminate the need of an experienced personnel in processing the raw spectra which mostly relies on experience and intuition. The process involves peak selection, noise smoothing using Savitsky-Golay filters, interpolation and peak fitting. This article focuses on optimizing the Raman spectra peak fitting during pre-processing before significant features are extracted from the peaks to be fed as input into the machine learning model. Three profiles for peak fitting that have been applied are Gaussian, Lorentzian and Voigt. The findings show that after optimization, the best fit percentage for Gaussian profile is 33%, Lorentzian 42% and Voigt 24% which is in line with the manual peak fitting method where Lorentzian profile dominates the best fit. This result shows that the Lorentzian profile or its derivative could be used as the dominant profile for automating peak fitting during raw Raman signal pre-processing.",,978-1-6654-8529-6,10.1109/CSPA55076.2022.9781970,Ministry of Higher Education; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9781970,Oil palm fruit;Raman spectroscopy;Ripeness;Peak fitting;Pre-processing,Smoothing methods;Oils;Fitting;Raman scattering;Signal processing algorithms;Signal processing;Feature extraction,agriculture;crops;feature extraction;feature selection;image classification;image filtering;interpolation;learning (artificial intelligence);quality control;Raman spectra;smoothing methods,signal processing;peak selection;Raman spectra peak fitting;Lorentzian profile;oil palm classification;fresh fruit bunches;pre-harvesting;Savitsky-Golay filters;interpolation;features extraction;machine learning;noise smoothing,,1,,11,IEEE,27-May-22,,,IEEE,IEEE Conferences
Orange Class Identification using Neural Networks and Transfer Learning,U. Riaz; M. S. Younis; A. Rasheed,"School of Electrical Engineering and Computer Science (SEECS), National University of Sciences and Technology (NUST), Islamabad, Pakistan; School of Electrical Engineering and Computer Science (SEECS), National University of Sciences and Technology (NUST), Islamabad, Pakistan; School of Electrical Engineering and Computer Science (SEECS), National University of Sciences and Technology (NUST), Islamabad, Pakistan",2020 IEEE 23rd International Multitopic Conference (INMIC),20-Jan-21,2020,,,1,6,"In order to increase the sales of fruits, quality, and type of fruit play an important role. Underdeveloped countries still use traditional visual examination to inspect the type and quality of oranges as they are very similar to each other with some differences. This manual examination has a great chance of errors as human perceptions have some limitations. A recent development in the field of computer sciences, especially Machine learning and Artificial Neural networks made it possible to train the computers for the classification of oranges and other fruits. This paper presents the classification of oranges between four varieties (Kinnow, Mosambi, Shakri, and Red blood) that can be found in Pakistan in a very large amount. Dataset used consists of 400 self-captured images. Every class consists of a total of 100 images, 80% of images were used for training purposes. The proposed model was tested on 20% images. The proposed study also signifies the importance of data augmentation and Transfer Learning in the classification process. Dataset was enhanced by using augmentation transforms. By training a Convolutional Neural Network with original dataset accuracy of 80% was achieved. This accuracy of the model was improved to 83.75% when trained with augmented dataset furthermore Resnet-50 with some layers was trained with original and augmented datasets to improve the accuracy of the classifier. Accuracy of 82.5% was achieved when Resnet-50 was trained with the original dataset. This accuracy jumped to 87.5% when the augmented dataset was used.",2049-3630,978-1-7281-9893-4,10.1109/INMIC50486.2020.9318045,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9318045,Classification;Convolutional Neural Networks;Oranges;Transfer Learning;Resnet-50,Image color analysis;Convolutional neural networks;Neural networks;Blood;Transforms;Deep learning;Training,agricultural products;convolutional neural nets;food products;image classification;learning (artificial intelligence);production engineering computing,orange class identification;transfer learning;fruits;manual examination;human perceptions;computer sciences;machine learning;artificial neural networks;self-captured images;training purposes;data augmentation;classification process;augmentation transforms;convolutional neural network;original dataset accuracy;augmented dataset;Resnet-50;augmented datasets,,,,27,IEEE,20-Jan-21,,,IEEE,IEEE Conferences
PCB Classification using Convolutional Neural Network,V. Mankad; N. Bhanvadia; M. I. Patel; R. Gajjar,"Department of Electronics and Communication Engineering, Institute of Technology, Nirma University, Ahmedabad, India; Department of Electronics and Communication Engineering, Institute of Technology, Nirma University, Ahmedabad, India; Department of Electronics and Communication Engineering, Institute of Technology, Nirma University, Ahmedabad, India; Department of Electronics and Communication Engineering, Institute of Technology, Nirma University, Ahmedabad, India","2021 3rd International Conference on Advances in Computing, Communication Control and Networking (ICAC3N)",9-Mar-22,2021,,,986,990,"For circuit-based applications to run successfully, the Printed Circuit Board (PCB) must be properly functioning, as, a defect in it can be dangerous for electronic circuits. Identification of simple images like fruits, scenery, etc. may be a convenient task for humans, but for images like that of a PCB, minute observation is required. When there is a huge dataset containing a variety of PCB images, it is very difficult for humans to classify the defective and non-defective PCBs. PCB has joint soldering, component placing, connections, etc. which can be the factors for classification. PCB defects can be then identified via model training through Machine Learning (ML). Convolutional Neural Network (CNN) model is proposed for classifying the PCB to be defective or not. The model is trained for two classes: defective and non-defective PCB images and then the classification is done as per the PCB faults and parameters. So, if a user wants to separate out defective PCBs from a mixed lot, such an ML-based model can be helpful. The proposed model achieved a detection accuracy of 92.8% for PCB.",,978-1-6654-3811-7,10.1109/ICAC3N53548.2021.9725695,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9725695,PCB Defects;Machine Learning;Printed Circuits;Image Classification;Convolutional Neural Network,Training;Strips;Computational modeling;Machine learning;Predictive models;Convolutional neural networks;Integrated circuit modeling,automatic optical inspection;computer vision;convolutional neural nets;electronic engineering computing;feature extraction;learning (artificial intelligence);pattern classification;printed circuit testing;printed circuits,PCB classification;circuit-based applications;printed circuit board;electronic circuits;simple images;nondefective PCB images;defective PCB images;ML-based model;convolutional neural network model;machine learning;PCB faults,,,,16,IEEE,9-Mar-22,,,IEEE,IEEE Conferences
Performance Analysis of Deep Learning Architectures in Classifying Calamansi (Citrofortunella microcarpa),E. F. Custodio; A. A. Hernandez,"Graduate Programs Technological Institute of the Philippines, Manila, Philippines; Graduate Programs Technological Institute of the Philippines, Manila, Philippines",2022 IEEE 12th Annual Computing and Communication Workshop and Conference (CCWC),4-Mar-22,2022,,,494,500,"The Philippine lime (Citrofortunella microcarpa) locally known as Calamansi belongs to the citrus family and is among the top four produce of the Philippines exported to different countries. When done manually, postharvest grading of Calamansi is a laborious operation. Thus, an effective method of assessing them according to size, color, and maturity is required to assist calamansi farmers in grading and classifying it non-destructively with precision and accuracy. Deep learning architectures have been useful in a wide range of agricultural applications including classifying, grading fruits, and quality recognition. The goal of the study is to compare the performance of four deep learning architectures: VGG16, ResNet50, InceptionV3, and DenseNet201 in classifying Calamansi. Three types of optimizers were considered in the training including Adam, SGD, and RMSProp. Furthermore, data augmentation is applied to the datasets to reduce overfitting and increase variation in the training datasets because of limited data. With Adam as optimizer, classification accuracies resulted to 96.98%, 91.48%, 27.95% and 65.95% for ResNet50, VGG16, InceptionV3 and DenseNet201, respectively. Classification accuracies of 91.76% for ResNet50, 88.19% for VGG16, 25% for InceptionV3 and 39.84% for DenseNet201 where observed implementing the SGD optimizer. Lastly, 95.60%, 75.55%, 25% and 63.19% classification accuracies were obtained for ResNet50, VGG16, InceptionV3 and DensNet201, respectively when RMSProp was utilized as the optimizer. From the CNN architectures used, ResNet50 acquired the best result in classifying Calamansi. The model resulted in an overall accuracy of 96.98% utilizing Adam as optimizer. Based on the findings of the study, it was determined that Resnet50 architecture with Adam as optimizer may be utilized to categorize Calamansi fruit or the Philippine lime.",,978-1-6654-8303-2,10.1109/CCWC54503.2022.9720788,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9720788,convolutional neural network;deep learning;fruit grading;transfer learning;data augmentation;citrofortunella microcarpa;optimizers,Deep learning;Training;Image color analysis;Conferences;Computational modeling;Computer architecture;Performance analysis,agricultural products;agriculture;food products;gradient methods;image classification;learning (artificial intelligence);object detection;pattern classification;support vector machines,"agricultural applications including classifying;grading fruits;deep learning architectures;InceptionV3;DenseNet201;classifying Calamansi;ResNet50, 88;VGG16, 25;SGD optimizer;63.19% classification accuracies;CNN architectures;96.98% utilizing Adam;Resnet50 architecture;Calamansi fruit;Philippine lime;performance analysis;Citrofortunella microcarpa;calamansi farmers",,,,42,IEEE,4-Mar-22,,,IEEE,IEEE Conferences
Perithecia Detection from Images of Stubble using Deep Learning Models,H. Azimi; P. Xi; M. Cuperlovic-Culf; M. Marie Vaughan,"Digital Technologies Research Centre National Research Council Canada, Ottawa, Canada; Digital Technologies Research Centre National Research Council Canada, Ottawa, Canada; Digital Technologies Research Centre National Research Council Canada, Ottawa, Canada; Mycotoxin Prevention and Applied Microbiology Research Unit, National Center for Agricultural Utilization Research USDA, Agricultural Research Service, Peoria, USA",2021 IEEE Symposium Series on Computational Intelligence (SSCI),24-Jan-22,2021,,,1,7,"Fusarium Head Blight (FHB) is a serious fungal disease of cereal crops that can not only reduce grain yield and quality, but can also contaminate grain with hazardous mycotoxins. In North America, FHB is predominantly caused by Fusarium graminearum (Fg). The primary form of Fg inoculum is ascospores, produced within small (< 0.5 mm), darkly pigmented fruiting bodies known as perithecia. The density of the Fg inoculum (i.e., the total number of perithecia) is associated with the potential for FHB severity. In order to provide growers with a timely tool to assess local FHB risk, we have developed machine learning models capable of detecting perithecia and estimating inoculum density from stubble images. We have implemented two deep learning-based object detection approaches: faster Region-based Convolutional Neural Networks (R-CNN) and You Only Look Once (YOLO). We have trained and tested a series of deep learning models through a lab-collected data set, with the best model achieving an average precision of 73% in perithecia detection. This work demonstrates the feasibility of applying machine learning to precision agriculture in the context of estimating pathogen inoculum density for disease forecasting.",,978-1-7281-9048-8,10.1109/SSCI50451.2021.9660082,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9660082,active learning;deep learning;object detection;YOLOv2;Faster RCNN;perithecia,Training;Deep learning;Annotations;Crops;Detectors;Object detection;Search problems,agriculture;contamination;convolutional neural nets;crops;deep learning (artificial intelligence);hazardous materials;image processing;microorganisms;object detection;plant diseases;product quality,perithecia detection;Fusarium Head Blight;cereal crops;grain yield;hazardous mycotoxins;North America;Fusarium graminearum;machine learning models;stubble images;deep learning-based object detection approaches;region-based convolutional neural networks;pathogen inoculum density;FHB;product quality;contaminate grain;ascospores material;darkly pigmented fruiting bodies;R-CNN;YOLO;lab-collected data set;precision agriculture;serious fungal disease forecasting,,,,23,Crown,24-Jan-22,,,IEEE,IEEE Conferences
Pest detection and classification to reduce pesticide use in fruit crops based on deep neural networks and image processing,A. Suárez; R. S. Molina; G. Ramponi; R. Petrino; L. Bollati; D. Sequeiros,"Departamento de Electrónica, Universidad Nacional de San Luis — LEIS, San Luis, Argentina; Dipartimento di Ingegneria e Architettura, Università Degli Studi di Trieste — IPL, Trieste, TS, Italy; Dipartimento di Ingegneria e Architettura, Università Degli Studi di Trieste — IPL, Trieste, TS, Italy; Departamento de Electrónica, Universidad Nacional de San Luis — LEIS, San Luis, Argentina; Nectras, Santa Fe, Argentina; Nectras, Santa Fe, Argentina",2021 XIX Workshop on Information Processing and Control (RPIC),24-Dec-21,2021,,,1,6,"The aim for organic farming is obtaining food of the highest quality, avoiding synthetic chemicals, protecting the environment and preserving the fertility of the land. In this context, effective pest control allows to reduce yield loss and pesticides application producing pollution-free vegetables. In fruit crops, Carpocapsa is the main pest present in pear, apple, walnut and quince trees. This insect produces irreversible damage to the fruit, since the larvae feed the seeds inside the fruit. In this paper, we present automatic pest detection and classification in the context of fruit crops based on image processing and Deep Neural Networks, employing an image collection obtained from in-field traps. Due to the limited size of the data set, we perform data augmentation to increase the number of images for training, to prevent over-fitting and to improve the deep neural network learning rate. Results showed an overall accuracy of 94.8%, while precision and recall scores for the class related with the moth were around 97.2% and 93.6% respectively, demonstrating the efficacy of this type of classifier proposed for pest detection. An inference time of 40 ms per image for the deep neural network classifier has been reached.",,978-1-6654-1436-4,10.1109/RPIC53795.2021.9648485,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9648485,image processing;deep neural networks;CNN;classification;pest detection,Deep learning;Training;Time-frequency analysis;Machine learning algorithms;Insects;Crops;Process control,agricultural pollution;agriculture;agrochemicals;crops;deep learning (artificial intelligence);image classification;organic farming;pest control;quality control,fruit crops;deep neural networks;image processing;organic farming;synthetic chemicals;effective pest control;pesticides application;walnut trees;quince trees;automatic pest detection;image collection;deep neural network learning rate;deep neural network classifier;pest classification;environmental protection;land fertility;pollution-free vegetables;carpocapsa;pear trees;apple trees;irreversible damage;data augmentation,,,,19,IEEE,24-Dec-21,,,IEEE,IEEE Conferences
Pest Incidence Prediction in Organic Banana Crops with Machine Learning Techniques,E. Almeyda; J. Paiva; W. Ipanaqué,"Universidad de Piura, Laboratorio de Sistemas Automáticos de Control, Piura, Perú; Universidad de Piura, Laboratorio de Sistemas Automáticos de Control, Piura, Perú; Universidad de Piura, Laboratorio de Sistemas Automáticos de Control, Piura, Perú",2020 IEEE Engineering International Research Conference (EIRCON),17-Nov-20,2020,,,1,4,"One of the main problems organic banana crops is the presence of pests, affecting crop yield, post-harvest and export fruit quality. In Piura (Peru), pests with the greatest presence are Thrips, Squamas, Black Weevil, etc. This article describes the development of a prediction model, based on a supervised machine learning algorithm: Logistic Regression and Support Vector Machine, which will estimate the future level of incidence (low and medium) of a specific pest. The model was designed including the input data (climate) that were obtained from a network of IoT sensors in-situ in the banana crop, and output data (level of incidence) that was collected with manual record and visual inspection. The model developed can predict pest incidence at 79% accuracy (with test data). These first results show feasibility to estimate in advance the incidence of pests in that crop. Future implementation of the model would help to farmers improving the pest management to their crops, increasing the production and quality of the product.",,978-1-7281-8367-1,10.1109/EIRCON51178.2020.9254034,"CONCYTEC; FONDECYT(grant numbers:E033-2018-01-BM,06-2018-FONDECYT/BM); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9254034,organic banana;pest;trips;machine learning;support vector machine;logistic regression;binary classification,Visualization;Support vector machine classification;Production;Predictive models;Agriculture;Data models;Sensors,agricultural engineering;agricultural products;agriculture;crops;learning (artificial intelligence);pest control;plant diseases;regression analysis;support vector machines,banana crop;manual record;visual inspection;test data;pest management;pest incidence prediction;machine learning techniques;crop yield;post-harvest;fruit quality;greatest presence;Black Weevil;prediction model;supervised machine learning algorithm;logistic regression;support vector machine;future level;specific pest;organic banana crops;Peru;Piura,,1,,32,IEEE,17-Nov-20,,,IEEE,IEEE Conferences
